A->B | () False
Q->B | ('A', 'F', 'P', 'X', 'Y') True
Q->B | ('A', 'F', 'P', 'Y') False
Q->B | ('A', 'F', 'X') True
Q->B | ('A', 'F', 'X', 'Y') False
Q->B | ('A', 'F', 'Y') False
Q->B | ('A', 'P') False
Q->B | ('A', 'P', 'X') True
Q->B | ('A', 'P', 'X', 'Y') True
Q->B | ('A', 'P', 'Y') False
Q->B | ('A', 'X') True
Q->B | ('A', 'X', 'Y') False
Q->B | ('A', 'Y') False
Q->B | ('F',) False
Q->B | ('F', 'P') False
Q->B | ('F', 'P', 'X') True
Q->B | ('F', 'P', 'X', 'Y') True
Q->B | ('F', 'P', 'Y') False
Q->B | ('F', 'X') True
Q->B | ('F', 'X', 'Y') False
Q->B | ('F', 'Y') False
Q->B | ('P',) False
Q->B | ('P', 'X') True
Q->B | ('P', 'X', 'Y') True
Q->B | ('P', 'Y') False
Q->B | ('X',) True
Q->B | ('X', 'Y') False
Q->B | ('Y',) False
Q->F | () False
Q->F | ('A',) False
Q->F | ('A', 'B') True
Q->F | ('A', 'B', 'P') True
Q->F | ('A', 'B', 'P', 'X') True
Q->F | ('A', 'B', 'P', 'X', 'Y') True
Q->F | ('A', 'B', 'P', 'Y') True
Q->F | ('A', 'B', 'X') True
Q->F | ('A', 'B', 'X', 'Y') True
Q->F | ('A', 'B', 'Y') True
Q->F | ('A', 'P') False
Q->F | ('A', 'P', 'X') True
Q->F | ('A', 'P', 'X', 'Y') True
Q->F | ('A', 'P', 'Y') False
Q->F | ('A', 'X') True
Q->F | ('A', 'X', 'Y') False
Q->F | ('A', 'Y') False
Q->F | ('B',) True
Q->F | ('B', 'P') True
Q->F | ('B', 'P', 'X') True
Q->F | ('B', 'P', 'X', 'Y') True
Q->F | ('B', 'P', 'Y') True
Q->F | ('B', 'X') True
Q->F | ('B', 'X', 'Y') True
Q->F | ('B', 'Y') True
Q->F | ('P',) False
Q->F | ('P', 'X') True
Q->F | ('P', 'X', 'Y') True
Q->F | ('P', 'Y') False
Q->F | ('X',) True
Q->F | ('X', 'Y') False
Q->F | ('Y',) False
Q->P | () True
Q->P | ('A',) False
Q->P | ('A', 'B') False
Q->P | ('A', 'B', 'F') False
Q->P | ('A', 'B', 'F', 'X') False
Q->P | ('A', 'B', 'F', 'X', 'Y') False
Q->P | ('A', 'B', 'F', 'Y') False
Q->P | ('A', 'B', 'X') False
Q->P | ('A', 'B', 'X', 'Y') False
Q->P | ('A', 'B', 'Y') False
Q->P | ('A', 'F') False
Q->P | ('A', 'F', 'X') False
Q->P | ('A', 'F', 'X', 'Y') False
Q->P | ('A', 'F', 'Y') False
Q->P | ('A', 'X') False
Q->P | ('A', 'X', 'Y') False
Q->P | ('A', 'Y') False
Q->P | ('B',) False
Q->P | ('B', 'F') False
Q->P | ('B', 'F', 'X') False
Q->P | ('B', 'F', 'X', 'Y') False
Q->P | ('B', 'F', 'Y') False
Q->P | ('B', 'X') False
Q->P | ('B', 'X', 'Y') False
Q->P | ('B', 'Y') False
Q->P | ('F',) False
Q->P | ('F', 'X') False
Q->P | ('F', 'X', 'Y') False
Q->P | ('F', 'Y') False
Q->P | ('X',) False
Q->P | ('X', 'Y') False
Q->P | ('Y',) False
Q->X | () False
Q->X | ('A',) False
Q->X | ('A', 'B') False
Q->X | ('A', 'B', 'F') False
Q->X | ('A', 'B', 'F', 'P') False
Q->X | ('A', 'B', 'F', 'P', 'Y') False
Q->X | ('A', 'B', 'F', 'Y') False
Q->X | ('A', 'B', 'P') False
Q->X | ('A', 'B', 'P', 'Y') False
Q->X | ('A', 'B', 'Y') False
Q->X | ('A', 'F') False
Q->X | ('A', 'F', 'P') False
Q->X | ('A', 'F', 'P', 'Y') False
Q->X | ('A', 'F', 'Y') False
Q->X | ('A', 'P') False
Q->X | ('A', 'P', 'Y') False
Q->X | ('A', 'Y') False
Q->X | ('B',) False
Q->X | ('B', 'F') False
Q->X | ('B', 'F', 'P') False
Q->X | ('B', 'F', 'P', 'Y') False
Q->X | ('B', 'F', 'Y') False
Q->X | ('B', 'P') False
Q->X | ('B', 'P', 'Y') False
Q->X | ('B', 'Y') False
Q->X | ('F',) False
Q->X | ('F', 'P') False
Q->X | ('F', 'P', 'Y') False
Q->X | ('F', 'Y') False
Q->X | ('P',) False
Q->X | ('P', 'Y') False
Q->X | ('Y',) False
Q->Y | () False
Q->Y | ('A',) False
Q->Y | ('A', 'B') False
Q->Y | ('A', 'B', 'F') False
Q->Y | ('A', 'B', 'F', 'P') True
Q->Y | ('A', 'B', 'F', 'P', 'X') True
Q->Y | ('A', 'B', 'F', 'X') False
Q->Y | ('A', 'B', 'P') True
Q->Y | ('A', 'B', 'P', 'X') True
Q->Y | ('A', 'B', 'X') False
Q->Y | ('A', 'F') False
Q->Y | ('A', 'F', 'P') False
Q->Y | ('A', 'F', 'P', 'X') True
Q->Y | ('A', 'F', 'X') False
Q->Y | ('A', 'P') False
Q->Y | ('A', 'P', 'X') True
Q->Y | ('A', 'X') False
Q->Y | ('B',) False
Q->Y | ('B', 'F') False
Q->Y | ('B', 'F', 'P') True
Q->Y | ('B', 'F', 'P', 'X') True
Q->Y | ('B', 'F', 'X') False
Q->Y | ('B', 'P') True
Q->Y | ('B', 'P', 'X') True
Q->Y | ('B', 'X') False
Q->Y | ('F',) False
Q->Y | ('F', 'P') False
Q->Y | ('F', 'P', 'X') True
Q->Y | ('F', 'X') False
Q->Y | ('P',) False
Q->Y | ('P', 'X') True
Q->Y | ('X',) False
X->A | () False
X->A | ('B',) False
X->A | ('B', 'F') False
X->A | ('B', 'F', 'P') False
X->A | ('B', 'F', 'P', 'Q') False
X->A | ('B', 'F', 'P', 'Q', 'Y') False
X->A | ('B', 'F', 'P', 'Y') False
X->A | ('B', 'F', 'Q') False
X->A | ('B', 'F', 'Q', 'Y') False
X->A | ('B', 'F', 'Y') False
X->A | ('B', 'P') False
X->A | ('B', 'P', 'Q') False
X->A | ('B', 'P', 'Q', 'Y') False
X->A | ('B', 'P', 'Y') False
X->A | ('B', 'Q') False
X->A | ('B', 'Q', 'Y') False
X->A | ('B', 'Y') False
X->A | ('F',) False
X->A | ('F', 'P') False
X->A | ('F', 'P', 'Q') False
X->A | ('F', 'P', 'Q', 'Y') False
X->A | ('F', 'P', 'Y') False
X->A | ('F', 'Q') False
X->A | ('F', 'Q', 'Y') False
X->A | ('F', 'Y') False
X->A | ('P',) False
X->A | ('P', 'Q') False
X->A | ('P', 'Q', 'Y') False
X->A | ('P', 'Y') False
X->A | ('Q',) False
X->A | ('Q', 'Y') False
X->A | ('Y',) False
X->B | () False
X->B | ('A',) False
X->B | ('A', 'F') False
X->B | ('A', 'F', 'P') False
X->B | ('A', 'F', 'P', 'Q') False
X->B | ('A', 'F', 'P', 'Q', 'Y') False
X->B | ('A', 'F', 'P', 'Y') False
X->B | ('A', 'F', 'Q') False
X->B | ('A', 'F', 'Q', 'Y') False
X->B | ('A', 'F', 'Y') False
X->B | ('A', 'P') False
X->B | ('A', 'P', 'Q') False
X->B | ('A', 'P', 'Q', 'Y') False
X->B | ('A', 'P', 'Y') False
X->B | ('A', 'Q') False
X->B | ('A', 'Q', 'Y') False
X->B | ('A', 'Y') False
X->B | ('F',) False
X->B | ('F', 'P') False
X->B | ('F', 'P', 'Q') False
X->B | ('F', 'P', 'Q', 'Y') False
X->B | ('F', 'P', 'Y') False
X->B | ('F', 'Q') False
X->B | ('F', 'Q', 'Y') False
X->B | ('F', 'Y') False
X->B | ('P',) False
X->B | ('P', 'Q') False
X->B | ('P', 'Q', 'Y') False
X->B | ('P', 'Y') False
X->B | ('Q',) False
X->B | ('Q', 'Y') False
X->B | ('Y',) False
X->F | () False
X->F | ('A',) False
X->F | ('A', 'B') True
X->F | ('A', 'B', 'P') True
X->F | ('A', 'B', 'P', 'Q') True
X->F | ('A', 'B', 'P', 'Q', 'Y') True
X->F | ('A', 'B', 'P', 'Y') True
X->F | ('A', 'B', 'Q') True
X->F | ('A', 'B', 'Q', 'Y') True
X->F | ('A', 'B', 'Y') True
X->F | ('A', 'P') False
X->F | ('A', 'P', 'Q') False
X->F | ('A', 'P', 'Q', 'Y') False
X->F | ('A', 'P', 'Y') False
X->F | ('A', 'Q') False
X->F | ('A', 'Q', 'Y') False
X->F | ('A', 'Y') False
X->F | ('B',) True
X->F | ('B', 'P') True
X->F | ('B', 'P', 'Q') True
X->F | ('B', 'P', 'Q', 'Y') True
X->F | ('B', 'P', 'Y') True
X->F | ('B', 'Q') True
X->F | ('B', 'Q', 'Y') True
X->F | ('B', 'Y') True
X->F | ('P',) False
X->F | ('P', 'Q') False
X->F | ('P', 'Q', 'Y') False
X->F | ('P', 'Y') False
X->F | ('Q',) False
X->F | ('Q', 'Y') False
X->F | ('Y',) False
X->P | () False
X->P | ('A',) False
X->P | ('A', 'B') False
X->P | ('A', 'B', 'F') False
X->P | ('A', 'B', 'F', 'Q') False
X->P | ('A', 'B', 'F', 'Q', 'Y') False
X->P | ('A', 'B', 'F', 'Y') False
X->P | ('A', 'B', 'Q') False
X->P | ('A', 'B', 'Q', 'Y') False
X->P | ('A', 'B', 'Y') False
X->P | ('A', 'F') False
X->P | ('A', 'F', 'Q') False
X->P | ('A', 'F', 'Q', 'Y') False
X->P | ('A', 'F', 'Y') False
X->P | ('A', 'Q') False
X->P | ('A', 'Q', 'Y') False
X->P | ('A', 'Y') False
X->P | ('B',) False
X->P | ('B', 'F') False
X->P | ('B', 'F', 'Q') False
X->P | ('B', 'F', 'Q', 'Y') False
X->P | ('B', 'F', 'Y') False
X->P | ('B', 'Q') False
X->P | ('B', 'Q', 'Y') False
X->P | ('B', 'Y') False
X->P | ('F',) False
X->P | ('F', 'Q') False
X->P | ('F', 'Q', 'Y') False
X->P | ('F', 'Y') False
X->P | ('Q',) False
X->P | ('Q', 'Y') False
X->P | ('Y',) False
X->Q | () False
X->Q | ('A',) False
X->Q | ('A', 'B') False
X->Q | ('A', 'B', 'F') False
X->Q | ('A', 'B', 'F', 'P') False
X->Q | ('A', 'B', 'F', 'P', 'Y') False
X->Q | ('A', 'B', 'F', 'Y') False
X->Q | ('A', 'B', 'P') False
X->Q | ('A', 'B', 'P', 'Y') False
X->Q | ('A', 'B', 'Y') False
X->Q | ('A', 'F') False
X->Q | ('A', 'F', 'P') False
X->Q | ('A', 'F', 'P', 'Y') False
X->Q | ('A', 'F', 'Y') False
X->Q | ('A', 'P') False
X->Q | ('A', 'P', 'Y') False
X->Q | ('A', 'Y') False
X->Q | ('B',) False
X->Q | ('B', 'F') False
X->Q | ('B', 'F', 'P') False
X->Q | ('B', 'F', 'P', 'Y') False
X->Q | ('B', 'F', 'Y') False
X->Q | ('B', 'P') False
X->Q | ('B', 'P', 'Y') False
X->Q | ('B', 'Y') False
X->Q | ('F',) False
X->Q | ('F', 'P') False
X->Q | ('F', 'P', 'Y') False
X->Q | ('F', 'Y') False
X->Q | ('P',) False
X->Q | ('P', 'Y') False
X->Q | ('Y',) False
X->Y | () False
X->Y | ('A',) False
X->Y | ('A', 'B') False
X->Y | ('A', 'B', 'F') False
X->Y | ('A', 'B', 'F', 'P') True
X->Y | ('A', 'B', 'F', 'P', 'Q') True
X->Y | ('A', 'B', 'F', 'Q') False
X->Y | ('A', 'B', 'P') True
X->Y | ('A', 'B', 'P', 'Q') True
X->Y | ('A', 'B', 'Q') False
X->Y | ('A', 'F') False
X->Y | ('A', 'F', 'P') False
X->Y | ('A', 'F', 'P', 'Q') False
X->Y | ('A', 'F', 'Q') False
X->Y | ('A', 'P') False
X->Y | ('A', 'P', 'Q') False
X->Y | ('A', 'Q') False
X->Y | ('B',) False
X->Y | ('B', 'F') False
X->Y | ('B', 'F', 'P') True
X->Y | ('B', 'F', 'P', 'Q') True
X->Y | ('B', 'F', 'Q') False
X->Y | ('B', 'P') True
X->Y | ('B', 'P', 'Q') True
X->Y | ('B', 'Q') False
X->Y | ('F',) False
X->Y | ('F', 'P') False
X->Y | ('F', 'P', 'Q') False
X->Y | ('F', 'Q') False
X->Y | ('P',) False
X->Y | ('P', 'Q') False
X->Y | ('Q',) False
Y->A | () False
Y->A | ('B',) False
Y->A | ('B', 'F') False
Y->A | ('B', 'F', 'P') True
Y->A | ('B', 'F', 'P', 'Q') True
Y->A | ('B', 'F', 'P', 'Q', 'X') True
Y->A | ('B', 'F', 'P', 'X') True
Y->A | ('B', 'F', 'Q') False
Y->A | ('B', 'F', 'Q', 'X') True
Y->A | ('B', 'F', 'X') True
Y->A | ('B', 'P') True
Y->A | ('B', 'P', 'Q') True
Y->A | ('B', 'P', 'Q', 'X') True
Y->A | ('B', 'P', 'X') True
Y->A | ('B', 'Q') False
Y->A | ('B', 'Q', 'X') True
Y->A | ('B', 'X') True
Y->A | ('F',) False
Y->A | ('F', 'P') False
Y->A | ('F', 'P', 'Q') False
Y->A | ('F', 'P', 'Q', 'X') True
Y->A | ('F', 'P', 'X') True
Y->A | ('F', 'Q') False
Y->A | ('F', 'Q', 'X') True
Y->A | ('F', 'X') True
Y->A | ('P',) False
Y->A | ('P', 'Q') False
Y->A | ('P', 'Q', 'X') True
Y->A | ('P', 'X') True
Y->A | ('Q',) False
Y->A | ('Q', 'X') True
Y->A | ('X',) True
Y->B | () False
Y->B | ('A',) False
Y->B | ('A', 'F') False
Y->B | ('A', 'F', 'P') False
Y->B | ('A', 'F', 'P', 'Q') False
Y->B | ('A', 'F', 'P', 'Q', 'X') False
Y->B | ('A', 'F', 'P', 'X') False
Y->B | ('A', 'F', 'Q') False
Y->B | ('A', 'F', 'Q', 'X') False
Y->B | ('A', 'F', 'X') False
Y->B | ('A', 'P') False
Y->B | ('A', 'P', 'Q') False
Y->B | ('A', 'P', 'Q', 'X') False
Y->B | ('A', 'P', 'X') False
Y->B | ('A', 'Q') False
Y->B | ('A', 'Q', 'X') False
Y->B | ('A', 'X') False
Y->B | ('F',) False
Y->B | ('F', 'P') False
Y->B | ('F', 'P', 'Q') False
Y->B | ('F', 'P', 'Q', 'X') False
Y->B | ('F', 'P', 'X') False
Y->B | ('F', 'Q') False
Y->B | ('F', 'Q', 'X') False
Y->B | ('F', 'X') False
Y->B | ('P',) False
Y->B | ('P', 'Q') False
Y->B | ('P', 'Q', 'X') False
Y->B | ('P', 'X') False
Y->B | ('Q',) False
Y->B | ('Q', 'X') False
Y->B | ('X',) False
Y->F | () False
Y->F | ('A',) False
Y->F | ('A', 'B') True
Y->F | ('A', 'B', 'P') True
Y->F | ('A', 'B', 'P', 'Q') True
Y->F | ('A', 'B', 'P', 'Q', 'X') True
Y->F | ('A', 'B', 'P', 'X') True
Y->F | ('A', 'B', 'Q') True
Y->F | ('A', 'B', 'Q', 'X') True
Y->F | ('A', 'B', 'X') True
Y->F | ('A', 'P') False
Y->F | ('A', 'P', 'Q') False
Y->F | ('A', 'P', 'Q', 'X') False
Y->F | ('A', 'P', 'X') False
Y->F | ('A', 'Q') False
Y->F | ('A', 'Q', 'X') False
Y->F | ('A', 'X') False
Y->F | ('B',) True
Y->F | ('B', 'P') True
Y->F | ('B', 'P', 'Q') True
Y->F | ('B', 'P', 'Q', 'X') True
Y->F | ('B', 'P', 'X') True
Y->F | ('B', 'Q') True
Y->F | ('B', 'Q', 'X') True
Y->F | ('B', 'X') True
Y->F | ('P',) False
Y->F | ('P', 'Q') False
Y->F | ('P', 'Q', 'X') False
Y->F | ('P', 'X') False
Y->F | ('Q',) False
Y->F | ('Q', 'X') False
Y->F | ('X',) False
Y->P | () False
Y->P | ('A',) False
Y->P | ('A', 'B') False
Y->P | ('A', 'B', 'F') False
Y->P | ('A', 'B', 'F', 'Q') False
Y->P | ('A', 'B', 'F', 'Q', 'X') False
Y->P | ('A', 'B', 'F', 'X') False
Y->P | ('A', 'B', 'Q') False
Y->P | ('A', 'B', 'Q', 'X') False
Y->P | ('A', 'B', 'X') False
Y->P | ('A', 'F') False
Y->P | ('A', 'F', 'Q') False
Y->P | ('A', 'F', 'Q', 'X') False
Y->P | ('A', 'F', 'X') False
Y->P | ('A', 'Q') False
Y->P | ('A', 'Q', 'X') False
Y->P | ('A', 'X') False
Y->P | ('B',) False
Y->P | ('B', 'F') False
Y->P | ('B', 'F', 'Q') False
Y->P | ('B', 'F', 'Q', 'X') False
Y->P | ('B', 'F', 'X') False
Y->P | ('B', 'Q') False
Y->P | ('B', 'Q', 'X') False
Y->P | ('B', 'X') False
Y->P | ('F',) False
Y->P | ('F', 'Q') False
Y->P | ('F', 'Q', 'X') False
Y->P | ('F', 'X') False
Y->P | ('Q',) False
Y->P | ('Q', 'X') False
Y->P | ('X',) False
Y->Q | () False
Y->Q | ('A',) False
Y->Q | ('A', 'B') False
Y->Q | ('A', 'B', 'F') False
Y->Q | ('A', 'B', 'F', 'P') True
Y->Q | ('A', 'B', 'F', 'P', 'X') True
Y->Q | ('A', 'B', 'F', 'X') False
Y->Q | ('A', 'B', 'P') True
Y->Q | ('A', 'B', 'P', 'X') True
Y->Q | ('A', 'B', 'X') False
Y->Q | ('A', 'F') False
Y->Q | ('A', 'F', 'P') False
Y->Q | ('A', 'F', 'P', 'X') True
Y->Q | ('A', 'F', 'X') False
Y->Q | ('A', 'P') False
Y->Q | ('A', 'P', 'X') True
Y->Q | ('A', 'X') False
Y->Q | ('B',) False
Y->Q | ('B', 'F') False
Y->Q | ('B', 'F', 'P') True
Y->Q | ('B', 'F', 'P', 'X') True
Y->Q | ('B', 'F', 'X') False
Y->Q | ('B', 'P') True
Y->Q | ('B', 'P', 'X') True
Y->Q | ('B', 'X') False
Y->Q | ('F',) False
Y->Q | ('F', 'P') False
Y->Q | ('F', 'P', 'X') True
Y->Q | ('F', 'X') False
Y->Q | ('P',) False
Y->Q | ('P', 'X') True
Y->Q | ('X',) False
Y->X | () False
Y->X | ('A',) False
Y->X | ('A', 'B') False
Y->X | ('A', 'B', 'F') False
Y->X | ('A', 'B', 'F', 'P') True
Y->X | ('A', 'B', 'F', 'P', 'Q') True
Y->X | ('A', 'B', 'F', 'Q') False
Y->X | ('A', 'B', 'P') True
Y->X | ('A', 'B', 'P', 'Q') True
Y->X | ('A', 'B', 'Q') False
Y->X | ('A', 'F') False
Y->X | ('A', 'F', 'P') False
Y->X | ('A', 'F', 'P', 'Q') False
Y->X | ('A', 'F', 'Q') False
Y->X | ('A', 'P') False
Y->X | ('A', 'P', 'Q') False
Y->X | ('A', 'Q') False
Y->X | ('B',) False
Y->X | ('B', 'F') False
Y->X | ('B', 'F', 'P') True
Y->X | ('B', 'F', 'P', 'Q') True
Y->X | ('B', 'F', 'Q') False
Y->X | ('B', 'P') True
Y->X | ('B', 'P', 'Q') True
Y->X | ('B', 'Q') False
Y->X | ('F',) False
Y->X | ('F', 'P') False
Y->X | ('F', 'P', 'Q') False
Y->X | ('F', 'Q') False
Y->X | ('P',) False
Y->X | ('P', 'Q') False
Y->X | ('Q',) False

